name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Löschflugzeug,Technic,42152,10+,1134.0,109.99,,,,,/de-de/product/firefighter-aircraft-42152,2023-09-21
Airbus H175 Rettungshubschrauber,Technic,42145,11+,2001.0,209.99,,,,,/de-de/product/airbus-h175-rescue-helicopter-42145,2023-09-21
NASCAR® Next Gen Chevrolet Camaro ZL1,Technic,42153,9+,672.0,49.99,,,,,/de-de/product/nascar-next-gen-chevrolet-camaro-zl1-42153,2023-09-21
Teleskoplader,Technic,42133,7+,143.0,9.99,,,,,/de-de/product/telehandler-42133,2023-09-21
Dom's Dodge Charger,Technic,42111,10+,1077.0,119.99,,,,,/de-de/product/doms-dodge-charger-42111,2023-09-21
Chopper,Technic,42132,7+,163.0,9.99,,,,,/de-de/product/motorcycle-42132,2023-09-21
Schwerlast-Abschleppwagen,Technic,42128,11+,2017.0,179.99,,22.0,14.0,58.0,/de-de/product/heavy-duty-tow-truck-42128,2023-09-21
Rennflugzeug,Technic,42117,7+,154.0,9.99,,,,,/de-de/product/race-plane-42117,2023-09-21
Monster Jam™ Monster Mutt™ Dalmatian,Technic,42150,7+,244.0,19.99,,,,,/de-de/product/monster-jam-monster-mutt-dalmatian-42150,2023-09-21
4x4 Mercedes-Benz Zetros Offroad-Truck,Technic,42129,12+,2110.0,329.99,,21.0,19.0,48.0,/de-de/product/4x4-mercedes-benz-zetros-trial-truck-42129,2023-09-21
Kipplaster,Technic,42147,7+,177.0,9.99,,,,,/de-de/product/dump-truck-42147,2023-09-21
App-gesteuertes Transformationsfahrzeug,Technic,42140,9+,772.0,149.99,,,,,/de-de/product/app-controlled-transformation-vehicle-42140,2023-09-21
Ford Mustang Shelby® GT500®,Technic,42138,9+,544.0,49.99,,,,,/de-de/product/ford-mustang-shelby-gt500-42138,2023-09-21
Monster Jam™ Megalodon™,Technic,42134,7+,260.0,19.99,,,,,/de-de/product/monster-jam-megalodon-42134,2023-09-21
Monster Jam™ Dragon™,Technic,42149,7+,217.0,19.99,,,,,/de-de/product/monster-jam-dragon-42149,2023-09-21
Geländefahrzeug,Technic,42139,10+,764.0,89.99,,,,,/de-de/product/all-terrain-vehicle-42139,2023-09-21
Monster Jam™  Grave Digger™,Technic,42118,7+,212.0,19.99,,,,,/de-de/product/monster-jam-grave-digger-42118,2023-09-21
Formula E® Porsche 99X Electric,Technic,42137,9+,422.0,49.99,,,,,/de-de/product/formula-e-porsche-99x-electric-42137,2023-09-21
Monster Jam™ El Toro Loco™,Technic,42135,7+,247.0,19.99,,,,,/de-de/product/monster-jam-el-toro-loco-42135,2023-09-21
